id,copetin,golosinas,facturas,preelaborados,FC_bebidas_con_azucar,copetin_semanalmente,golosinas_semanalmente,facturas_semanalmente,preelaborados_semanalmente,FC_bebidas_con_azucar_semanalmente,consume_NR
74212137,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,0,0,0,0,1,1
74274812,Entre 2 y 3 veces al dia,5 a 6 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1,1,1,0,1,1
74332559,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al dia,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia,0,1,1,0,1,1
74434818,Nunca o menos de 1 vez al mes,1 vez al dia,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia,0,1,1,0,1,1
74494264,Entre 1 y 3 veces al mes,1 vez por semana,1 vez al dia,2 a 4 veces por semana,Entre 2 y 3 veces al dia,0,1,1,1,1,1
74567366,Entre 2 y 3 veces al dia,5 a 6 veces por semana,1 vez al dia,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia,1,1,1,0,1,1
74567871,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia,0,0,1,0,1,1
74589443,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,0,1,0,0,0,1
74636313,1 vez al dia,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1,0,1,0,0,1
74641935,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,0,0,1,0,1,1
74651370,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,1,1,1,1,1,1
74658997,Nunca o menos de 1 vez al mes,1 vez por semana,6 veces o m?ís por d?¡a,Nunca o menos de 1 vez al mes,1 vez al dia,0,1,0,0,1,1
